INDEX,BARCODE_TEXT,BARCODE_FORMAT,STATUS,LOCATION
"1","Dynamsoft0073","DATAMATRIX","Recognized","[(205,226),(236,228),(235,258),(203,255)]"
"2","Dynamsoft0046","DATAMATRIX","Recognized","[(488,239),(518,240),(518,270),(488,268)]"
"3","Dynamsoft0050","DATAMATRIX","Recognized","[(756,242),(789,242),(790,272),(758,272)]"
"4","Dynamsoft0095","DATAMATRIX","Recognized","[(1026,244),(1056,244),(1057,274),(1027,273)]"
"5","Dynamsoft0024","DATAMATRIX","Recognized","[(1297,236),(1327,236),(1326,267),(1296,267)]"
"6","Dynamsoft0030","DATAMATRIX","Recognized","[(214,281),(246,283),(245,314),(212,311)]"
"7","Dynamsoft0057","DATAMATRIX","Recognized","[(496,293),(528,293),(528,324),(496,323)]"
"8","Dynamsoft0031","DATAMATRIX","Recognized","[(766,302),(796,303),(795,335),(764,333)]"
"9","Dynamsoft0096","DATAMATRIX","Recognized","[(1031,296),(1061,297),(1061,328),(1030,327)]"
"10","Dynamsoft0008","DATAMATRIX","Recognized","[(1298,295),(1328,295),(1327,325),(1298,324)]"
"11","Dynamsoft0038","DATAMATRIX","Recognized","[(211,345),(242,346),(241,376),(211,375)]"
"12","Dynamsoft0029","DATAMATRIX","Recognized","[(493,347),(524,348),(523,380),(492,378)]"
"13","Dynamsoft0015","DATAMATRIX","Recognized","[(763,358),(795,357),(795,391),(763,391)]"
"14","Dynamsoft0028","DATAMATRIX","Recognized","[(1031,356),(1061,356),(1060,388),(1030,387)]"
"15","Dynamsoft0092","DATAMATRIX","Recognized","[(1302,354),(1333,354),(1332,387),(1301,387)]"
"16","Dynamsoft0001","DATAMATRIX","Recognized","[(203,400),(235,401),(235,432),(203,431)]"
"17","Dynamsoft0041","DATAMATRIX","Recognized","[(482,407),(513,408),(512,438),(482,437)]"
"18","Dynamsoft0086","DATAMATRIX","Recognized","[(751,415),(783,417),(781,449),(750,447)]"
"19","Dynamsoft0002","DATAMATRIX","Recognized","[(1028,413),(1057,415),(1056,445),(1026,444)]"
"20","Dynamsoft0045","DATAMATRIX","Recognized","[(1293,410),(1324,410),(1324,442),(1292,442)]"
"21","Dynamsoft0055","DATAMATRIX","Recognized","[(207,457),(241,459),(240,492),(207,491)]"
"22","Dynamsoft0006","DATAMATRIX","Recognized","[(490,470),(521,470),(521,501),(490,500)]"
"23","Dynamsoft0051","DATAMATRIX","Recognized","[(759,469),(791,470),(791,502),(758,501)]"
"24","Dynamsoft0082","DATAMATRIX","Recognized","[(1029,468),(1058,470),(1057,500),(1027,499)]"
"25","Dynamsoft0025","DATAMATRIX","Recognized","[(1299,468),(1329,467),(1328,498),(1299,498)]"
"26","Dynamsoft0076","DATAMATRIX","Recognized","[(210,513),(240,514),(238,544),(208,543)]"
"27","Dynamsoft0003","DATAMATRIX","Duplicated","[(495,525),(525,526),(524,555),(495,555)]"
"28","Dynamsoft0048","DATAMATRIX","Recognized","[(756,526),(788,526),(789,557),(757,558)]"
"29","Dynamsoft0004","DATAMATRIX","Recognized","[(1031,524),(1061,524),(1061,555),(1031,554)]"
"30","0100888290027637112311301728110110V006PPAB15","DATAMATRIX","Recognized","[(1299,525),(1329,525),(1329,557),(1297,557)]"
"31","Dynamsoft0009","DATAMATRIX","Recognized","[(212,576),(246,577),(246,610),(212,609)]"
"32","Dynamsoft0075","DATAMATRIX","Recognized","[(491,582),(521,583),(521,612),(491,611)]"
"33","Dynamsoft0054","DATAMATRIX","Recognized","[(769,585),(801,586),(801,618),(769,617)]"
"34","Dynamsoft0081","DATAMATRIX","Recognized","[(1033,576),(1065,577),(1065,609),(1034,608)]"
"35","0100888290027637112311301728110110V006PPAB11","DATAMATRIX","Recognized","[(1298,583),(1329,583),(1328,615),(1296,614)]"
"36","Dynamsoft0007","DATAMATRIX","Recognized","[(213,634),(244,635),(244,665),(213,665)]"
"37","Dynamsoft0087","DATAMATRIX","Recognized","[(500,639),(532,638),(532,671),(500,671)]"
"38","Dynamsoft0077","DATAMATRIX","Recognized","[(760,637),(789,637),(788,667),(759,667)]"
"39","Dynamsoft0036","DATAMATRIX","Recognized","[(1034,632),(1064,632),(1064,663),(1034,663)]"
"40","Dynamsoft0042","DATAMATRIX","Recognized","[(1294,642),(1323,642),(1322,671),(1293,671)]"
"41","Dynamsoft0061","DATAMATRIX","Recognized","[(213,696),(245,697),(245,728),(213,727)]"
"42","Dynamsoft0071","DATAMATRIX","Recognized","[(490,696),(521,696),(521,726),(491,727)]"
"43","Dynamsoft0064","DATAMATRIX","Recognized","[(756,697),(786,697),(786,727),(755,727)]"
"44","Dynamsoft0052","DATAMATRIX","Recognized","[(1030,688),(1061,688),(1061,720),(1030,720)]"
"45","Dynamsoft0067","DATAMATRIX","Recognized","[(1291,697),(1321,697),(1320,727),(1290,727)]"
"46","Dynamsoft0065","DATAMATRIX","Recognized","[(220,751),(251,751),(252,782),(220,782)]"
"47","Dynamsoft0022","DATAMATRIX","Recognized","[(505,750),(535,749),(535,780),(505,780)]"
"48","Dynamsoft0097","DATAMATRIX","Recognized","[(769,752),(800,752),(800,783),(769,782)]"
"49","Dynamsoft0063","DATAMATRIX","Recognized","[(1036,741),(1066,741),(1066,772),(1036,771)]"
"50","Dynamsoft0070","DATAMATRIX","Recognized","[(1299,750),(1329,750),(1328,781),(1298,780)]"
"51","Dynamsoft0058","DATAMATRIX","Recognized","[(221,807),(252,807),(252,838),(221,837)]"
"52","Dynamsoft0023","DATAMATRIX","Recognized","[(497,807),(527,807),(527,837),(497,837)]"
"53","Dynamsoft0021","DATAMATRIX","Recognized","[(769,803),(800,803),(799,834),(769,833)]"
"54","Dynamsoft0093","DATAMATRIX","Recognized","[(1033,795),(1063,795),(1063,825),(1034,825)]"
"55","Dynamsoft0066","DATAMATRIX","Recognized","[(1294,804),(1323,805),(1322,834),(1292,834)]"
"56","Dynamsoft0062","DATAMATRIX","Recognized","[(228,868),(259,867),(260,898),(228,899)]"
